"stack_inerts"	"time"	"co2"
0.613198851536758	0	17.9389261447585
0.613198851536758	0.0333333333333333	25.3744205463372
0.613198851536758	0.0666666666666667	29.1523890811054
0.613198851536758	0.133333333333333	36.8621838929247
0.613198851536758	0.166666666666667	39.7504705231978
0.613198851536758	0.233333333333333	44.9343551536333
0.613198851536758	0.266666666666667	47.7275709528114
0.613198851536758	0.3	51.3114724441819
0.613198851536758	0.4	57.9402321024767
0.613198851536758	0.533333333333333	64.5789211323307
0.613198851536758	0.566666666666667	66.9470983656078
0.613198851536758	0.6	68.4975252179873
0.613198851536758	0.666666666666667	72.3415264942904
0.613198851536758	0.766666666666667	77.1645439824837
0.613198851536758	0.8	78.4145430766986
0.613198851536758	0.833333333333333	80.0765604277391
0.613198851536758	0.866666666666667	81.379627873352
0.613198851536758	0.933333333333333	84.0662391535234
0.613198851536758	1	85.5099765646883
0.811796115990549	0	16.3238205402946
0.811796115990549	0.0333333333333333	18.8169871340726
0.811796115990549	0.0666666666666667	24.6862767399626
0.811796115990549	0.1	29.5711170597021
0.811796115990549	0.166666666666667	36.6791528429768
0.811796115990549	0.2	39.1371178587519
0.811796115990549	0.4	51.6448509100856
0.811796115990549	0.433333333333333	53.7222048877807
0.811796115990549	0.533333333333333	58.5872722980566
0.811796115990549	0.6	61.2712503451499
0.811796115990549	0.666666666666667	63.5477822259711
0.811796115990549	0.766666666666667	68.2675041062892
0.811796115990549	0.833333333333333	70.5213079828363
0.811796115990549	0.866666666666667	71.5821507190803
0.811796115990549	0.9	72.5883790670335
0.811796115990549	0.933333333333333	73.7365041955594
0.811796115990549	0.966666666666667	74.4274452572898
0.811796115990549	1	75.4723945413886
0.858772924237448	0	12.273581166376
0.858772924237448	0.0333333333333333	18.0127879588835
0.858772924237448	0.1	25.253046842151
0.858772924237448	0.233333333333333	35.795643466879
0.858772924237448	0.266666666666667	38.2321034421449
0.858772924237448	0.3	40.2615822055646
0.858772924237448	0.333333333333333	42.3216632367849
0.858772924237448	0.366666666666667	44.7517111312021
0.858772924237448	0.466666666666667	50.4960596856436
0.858772924237448	0.533333333333333	53.0086577107146
0.858772924237448	0.566666666666667	54.5183738831023
0.858772924237448	0.6	55.9324936976245
0.858772924237448	0.633333333333333	57.9204689635902
0.858772924237448	0.666666666666667	59.8334746265703
0.858772924237448	0.7	59.666007832746
0.858772924237448	0.733333333333333	60.4523999491738
0.858772924237448	0.766666666666667	62.1332378077601
0.858772924237448	0.8	63.3284393536501
0.858772924237448	0.833333333333333	64.2320758691281
0.858772924237448	0.866666666666667	65.1952210222724
0.858772924237448	0.933333333333333	67.8267456605624
0.858772924237448	0.966666666666667	69.3699651289992
0.858772924237448	1	70.5328273571331
0.117982349264199	0	40.446134168384
0.117982349264199	0.0333333333333333	54.7610947204771
0.117982349264199	0.0666666666666667	68.1160101921781
0.117982349264199	0.1	77.620471347622
0.117982349264199	0.166666666666667	92.4292881712744
0.117982349264199	0.2	100.567490487654
0.117982349264199	0.266666666666667	113.865816344255
0.117982349264199	0.333333333333333	120.366462984746
0.117982349264199	0.366666666666667	124.263673651162
0.117982349264199	0.433333333333333	134.066547230147
0.117982349264199	0.5	143.320784826863
0.117982349264199	0.533333333333333	147.571700798346
0.117982349264199	0.566666666666667	152.67933698522
0.117982349264199	0.6	156.492587439033
0.117982349264199	0.633333333333333	159.839083994385
0.117982349264199	0.733333333333333	171.566069549352
0.117982349264199	0.8	177.441979183433
0.117982349264199	0.833333333333333	180.276071594099
0.117982349264199	0.9	186.587403182961
0.117982349264199	0.933333333333333	188.927441273512
0.117982349264199	0.966666666666667	192.021878524415
0.117982349264199	1	195.921251602863
0.239789377774482	0.1	47.8881365455291
0.239789377774482	0.133333333333333	55.141716180342
0.239789377774482	0.166666666666667	59.3843636176361
0.239789377774482	0.233333333333333	70.3035197753772
0.239789377774482	0.266666666666667	75.9001398828526
0.239789377774482	0.3	79.0447538466956
0.239789377774482	0.333333333333333	84.0303287724669
0.239789377774482	0.366666666666667	88.9043369362745
0.239789377774482	0.466666666666667	100.482481234677
0.239789377774482	0.5	104.975950781918
0.239789377774482	0.533333333333333	107.221026088027
0.239789377774482	0.666666666666667	119.231330633452
0.239789377774482	0.733333333333333	124.493414930848
0.239789377774482	0.8	129.496435152246
0.239789377774482	0.866666666666667	135.283208838652
0.239789377774482	0.9	138.265235083338
0.239789377774482	0.966666666666667	141.790216620791
0.372265248392257	0.0333333333333333	26.9344848337484
0.372265248392257	0.1	40.0496273103609
0.372265248392257	0.133333333333333	46.2468459946001
0.372265248392257	0.266666666666667	64.0568795265585
0.372265248392257	0.3	66.7995205307399
0.372265248392257	0.366666666666667	72.9120301123169
0.372265248392257	0.4	75.4351595465035
0.372265248392257	0.433333333333333	78.7898313585804
0.372265248392257	0.466666666666667	82.2265834701948
0.372265248392257	0.533333333333333	88.350478464829
0.372265248392257	0.6	93.9826323335979
0.372265248392257	0.633333333333333	96.9351892138941
0.372265248392257	0.666666666666667	98.4497397783862
0.372265248392257	0.733333333333333	102.83845355945
0.372265248392257	0.833333333333333	108.747073199156
0.372265248392257	0.9	112.546826309146
0.372265248392257	0.933333333333333	114.2223006675
0.592941824615678	0	17.3626655251498
0.592941824615678	0.0666666666666667	26.8235357875969
0.592941824615678	0.166666666666667	41.7353728656497
0.592941824615678	0.2	47.3110423987271
0.592941824615678	0.233333333333333	51.1249527012436
0.592941824615678	0.266666666666667	53.905246084862
0.592941824615678	0.3	56.1005571359459
0.592941824615678	0.4	61.8446809096532
